 time            time            v(net1)        
 2.56000000e-11  2.56000000e-11  1.78610927e-01 
 4.00000000e-11  4.00000000e-11  1.74064423e-01 
 4.25600000e-11  4.25600000e-11  1.73836168e-01 
 4.76800000e-11  4.76800000e-11  1.73477157e-01 
 5.79200000e-11  5.79200000e-11  1.73060902e-01 
 7.84000000e-11  7.84000000e-11  1.72774701e-01 
 1.18400000e-10  1.18400000e-10  1.72731087e-01 
 1.58400000e-10  1.58400000e-10  1.72785924e-01 
 1.98400000e-10  1.98400000e-10  1.72812168e-01 
 2.38400000e-10  2.38400000e-10  1.72816925e-01 
 2.78400000e-10  2.78400000e-10  1.72815884e-01 
 3.18400000e-10  3.18400000e-10  1.72814679e-01 
 3.58400000e-10  3.58400000e-10  1.72814000e-01 
 3.98400000e-10  3.98400000e-10  1.72813555e-01 
 4.38400000e-10  4.38400000e-10  1.72813156e-01 
 4.78400000e-10  4.78400000e-10  1.72812757e-01 
 5.18400000e-10  5.18400000e-10  1.72812357e-01 
 5.58400000e-10  5.58400000e-10  1.72811961e-01 
 5.98400000e-10  5.98400000e-10  1.72811568e-01 
 6.38400000e-10  6.38400000e-10  1.72811180e-01 
 6.78400000e-10  6.78400000e-10  1.72810795e-01 
 7.18400000e-10  7.18400000e-10  1.72810412e-01 
 7.58400000e-10  7.58400000e-10  1.72810031e-01 
 7.98400000e-10  7.98400000e-10  1.72809652e-01 
 8.38400000e-10  8.38400000e-10  1.72809274e-01 
 8.78400000e-10  8.78400000e-10  1.72808895e-01 
 9.18400000e-10  9.18400000e-10  1.72808516e-01 
 9.58400000e-10  9.58400000e-10  1.72808136e-01 
 9.98400000e-10  9.98400000e-10  1.72807755e-01 
 1.03840000e-09  1.03840000e-09  1.72807371e-01 
 1.07840000e-09  1.07840000e-09  1.72806984e-01 
 1.11840000e-09  1.11840000e-09  1.72806593e-01 
 1.15840000e-09  1.15840000e-09  1.72806196e-01 
 1.19840000e-09  1.19840000e-09  1.72805794e-01 
 1.23840000e-09  1.23840000e-09  1.72805385e-01 
 1.27840000e-09  1.27840000e-09  1.72804968e-01 
 1.31840000e-09  1.31840000e-09  1.72804540e-01 
 1.35840000e-09  1.35840000e-09  1.72804102e-01 
 1.39840000e-09  1.39840000e-09  1.72803650e-01 
 1.43840000e-09  1.43840000e-09  1.72803184e-01 
 1.47840000e-09  1.47840000e-09  1.72802699e-01 
 1.51840000e-09  1.51840000e-09  1.72802195e-01 
 1.55840000e-09  1.55840000e-09  1.72801667e-01 
 1.59840000e-09  1.59840000e-09  1.72801111e-01 
 1.63840000e-09  1.63840000e-09  1.72800523e-01 
 1.67840000e-09  1.67840000e-09  1.72799898e-01 
 1.71840000e-09  1.71840000e-09  1.72799227e-01 
 1.75840000e-09  1.75840000e-09  1.72798504e-01 
 1.79840000e-09  1.79840000e-09  1.72797716e-01 
 1.83840000e-09  1.83840000e-09  1.72796851e-01 
 1.87840000e-09  1.87840000e-09  1.72795649e-01 
 1.91840000e-09  1.91840000e-09  1.72794608e-01 
 1.95840000e-09  1.95840000e-09  1.72793483e-01 
 1.99840000e-09  1.99840000e-09  1.72792138e-01 
 2.03840000e-09  2.03840000e-09  1.72790550e-01 
 2.07840000e-09  2.07840000e-09  1.72788729e-01 
 2.11840000e-09  2.11840000e-09  1.72786741e-01 
 2.15840000e-09  2.15840000e-09  1.72784821e-01 
 2.19840000e-09  2.19840000e-09  1.72783653e-01 
 2.23840000e-09  2.23840000e-09  1.72785091e-01 
 2.27840000e-09  2.27840000e-09  1.72794382e-01 
 2.31840000e-09  2.31840000e-09  1.72829072e-01 
 2.35840000e-09  2.35840000e-09  1.72973234e-01 
 2.39840000e-09  2.39840000e-09  1.74525264e-01 
 2.43840000e-09  2.43840000e-09  1.76725416e-01 
 2.47840000e-09  2.47840000e-09  1.75748467e-01 
 2.51840000e-09  2.51840000e-09  1.70085132e-01 
 2.55840000e-09  2.55840000e-09  1.63209820e-01 
 2.59840000e-09  2.59840000e-09  1.69039082e-01 
 2.63840000e-09  2.63840000e-09  1.72161390e-01 
 2.67840000e-09  2.67840000e-09  1.72960054e-01 
 2.71840000e-09  2.71840000e-09  1.72944330e-01 
 2.75840000e-09  2.75840000e-09  1.72848609e-01 
 2.79840000e-09  2.79840000e-09  1.72814882e-01 
 2.83840000e-09  2.83840000e-09  1.72812049e-01 
 2.87840000e-09  2.87840000e-09  1.72813947e-01 
 2.91840000e-09  2.91840000e-09  1.72814520e-01 
 2.95840000e-09  2.95840000e-09  1.72814207e-01 
 2.99840000e-09  2.99840000e-09  1.72813728e-01 
 3.03840000e-09  3.03840000e-09  1.72813282e-01 
 3.07840000e-09  3.07840000e-09  1.72812868e-01 
 3.11840000e-09  3.11840000e-09  1.72812466e-01 
 3.15840000e-09  3.15840000e-09  1.72812069e-01 
 3.19840000e-09  3.19840000e-09  1.72811676e-01 
 3.23840000e-09  3.23840000e-09  1.72811287e-01 
 3.27840000e-09  3.27840000e-09  1.72810901e-01 
 3.31840000e-09  3.31840000e-09  1.72810518e-01 
 3.35840000e-09  3.35840000e-09  1.72810136e-01 
 3.39840000e-09  3.39840000e-09  1.72809757e-01 
 3.43840000e-09  3.43840000e-09  1.72809378e-01 
 3.47840000e-09  3.47840000e-09  1.72809000e-01 
 3.51840000e-09  3.51840000e-09  1.72808621e-01 
 3.55840000e-09  3.55840000e-09  1.72808242e-01 
 3.59840000e-09  3.59840000e-09  1.72807861e-01 
 3.63840000e-09  3.63840000e-09  1.72807477e-01 
 3.67840000e-09  3.67840000e-09  1.72807091e-01 
 3.71840000e-09  3.71840000e-09  1.72806701e-01 
 3.75840000e-09  3.75840000e-09  1.72806306e-01 
 3.79840000e-09  3.79840000e-09  1.72805906e-01 
 3.83840000e-09  3.83840000e-09  1.72805499e-01 
 3.87840000e-09  3.87840000e-09  1.72805084e-01 
 3.91840000e-09  3.91840000e-09  1.72804659e-01 
 3.95840000e-09  3.95840000e-09  1.72804224e-01 
 3.99840000e-09  3.99840000e-09  1.72803776e-01 
 4.03840000e-09  4.03840000e-09  1.72803314e-01 
 4.07840000e-09  4.07840000e-09  1.72802835e-01 
 4.11840000e-09  4.11840000e-09  1.72802336e-01 
 4.15840000e-09  4.15840000e-09  1.72801815e-01 
 4.19840000e-09  4.19840000e-09  1.72801267e-01 
 4.23840000e-09  4.23840000e-09  1.72800689e-01 
 4.27840000e-09  4.27840000e-09  1.72800075e-01 
 4.31840000e-09  4.31840000e-09  1.72799417e-01 
 4.35840000e-09  4.35840000e-09  1.72798709e-01 
 4.39840000e-09  4.39840000e-09  1.72797941e-01 
