VDD Cap1 Cap2 Spikes Frequency Energy_Per_Spike
0.1 0.69e-15 0.2e-15 1 1E+06 0
0.11 0.69e-15 0.2e-15 1 1E+06 0
0.12 0.69e-15 0.2e-15 1 1E+06 0
0.13 0.69e-15 0.2e-15 431 4.31E+08 5.88318E-19
0.14 0.69e-15 0.2e-15 498 4.98E+08 5.38442E-19
0.15 0.69e-15 0.2e-15 559 5.59E+08 5.22874E-19
0.16 0.69e-15 0.2e-15 610 6.1E+08 5.2767E-19
0.17 0.69e-15 0.2e-15 650 6.5E+08 5.44411E-19
0.18 0.69e-15 0.2e-15 678 6.78E+08 5.71891E-19
0.19 0.69e-15 0.2e-15 694 6.94E+08 5.96257E-19
0.2 0.69e-15 0.2e-15 697 6.97E+08 6.5825E-19
0.21 0.69e-15 0.2e-15 694 6.94E+08 7.25809E-19
0.22 0.69e-15 0.2e-15 690 6.9E+08 7.38744E-19
0.23 0.69e-15 0.2e-15 696 6.96E+08 7.73584E-19
0.24 0.69e-15 0.2e-15 700 7E+08 8.40824E-19
0.25 0.69e-15 0.2e-15 705 7.05E+08 8.9509E-19
0.26 0.69e-15 0.2e-15 752 7.52E+08 9.3717E-19
0.27 0.69e-15 0.2e-15 825 8.25E+08 1.00002E-18
0.28 0.69e-15 0.2e-15 878 8.78E+08 1.06399E-18
0.29 0.69e-15 0.2e-15 849 8.49E+08 1.14602E-18
0.3 0.69e-15 0.2e-15 854 8.54E+08 1.24561E-18
0.31 0.69e-15 0.2e-15 906 9.06E+08 1.25685E-18
0.32 0.69e-15 0.2e-15 62 6.2E+07 1.35782E-18
0.33 0.69e-15 0.2e-15 1049 1.049E+09 1.45868E-18
0.34 0.69e-15 0.2e-15 1150 1.15E+09 1.59075E-18
0.35 0.69e-15 0.2e-15 1287 1.287E+09 1.807E-18
0.36 0.69e-15 0.2e-15 1411 1.411E+09 2.07686E-18
0.37 0.69e-15 0.2e-15 1591 1.591E+09 2.26024E-18
0.38 0.69e-15 0.2e-15 1655 1.655E+09 2.34696E-18
0.39 0.69e-15 0.2e-15 423 4.23E+08 2.72381E-18
0.4 0.69e-15 0.2e-15 8 8E+06 2.83595E-18
0.41 0.69e-15 0.2e-15 1 1E+06 0
0.42 0.69e-15 0.2e-15 1 1E+06 0
0.43 0.69e-15 0.2e-15 1 1E+06 0
0.44 0.69e-15 0.2e-15 1 1E+06 0
0.45 0.69e-15 0.2e-15 1 1E+06 0
0.46 0.69e-15 0.2e-15 1 1E+06 0
0.47 0.69e-15 0.2e-15 1 1E+06 0
0.48 0.69e-15 0.2e-15 1 1E+06 0
0.49 0.69e-15 0.2e-15 1 1E+06 0
0.5 0.69e-15 0.2e-15 1 1E+06 0
0.51 0.69e-15 0.2e-15 1 1E+06 0
0.52 0.69e-15 0.2e-15 1 1E+06 0
0.53 0.69e-15 0.2e-15 1 1E+06 0
0.54 0.69e-15 0.2e-15 1 1E+06 0
0.55 0.69e-15 0.2e-15 1 1E+06 0
0.56 0.69e-15 0.2e-15 1 1E+06 0
0.57 0.69e-15 0.2e-15 1 1E+06 0
0.58 0.69e-15 0.2e-15 1 1E+06 0
0.59 0.69e-15 0.2e-15 1 1E+06 0
0.6 0.69e-15 0.2e-15 1 1E+06 0
0.61 0.69e-15 0.2e-15 1 1E+06 0
0.62 0.69e-15 0.2e-15 1 1E+06 0
0.63 0.69e-15 0.2e-15 1 1E+06 0
0.64 0.69e-15 0.2e-15 1 1E+06 0
0.65 0.69e-15 0.2e-15 1 1E+06 0
0.66 0.69e-15 0.2e-15 1 1E+06 0
0.67 0.69e-15 0.2e-15 1 1E+06 0
0.68 0.69e-15 0.2e-15 1 1E+06 0
0.69 0.69e-15 0.2e-15 1 1E+06 0
0.7 0.69e-15 0.2e-15 1 1E+06 0
0.71 0.69e-15 0.2e-15 1 1E+06 0
0.72 0.69e-15 0.2e-15 1 1E+06 0
0.73 0.69e-15 0.2e-15 1 1E+06 0
0.74 0.69e-15 0.2e-15 1 1E+06 0
0.75 0.69e-15 0.2e-15 1 1E+06 0
0.76 0.69e-15 0.2e-15 1 1E+06 0
0.77 0.69e-15 0.2e-15 1 1E+06 0
0.78 0.69e-15 0.2e-15 1 1E+06 0
0.79 0.69e-15 0.2e-15 1 1E+06 0
0.8 0.69e-15 0.2e-15 1 1E+06 0
0.81 0.69e-15 0.2e-15 1 1E+06 0
0.82 0.69e-15 0.2e-15 2 2E+06 3.13366E-17
0.83 0.69e-15 0.2e-15 1 1E+06 0
0.84 0.69e-15 0.2e-15 1 1E+06 0
0.85 0.69e-15 0.2e-15 1 1E+06 0
0.86 0.69e-15 0.2e-15 1 1E+06 0
0.87 0.69e-15 0.2e-15 1 1E+06 0
0.88 0.69e-15 0.2e-15 1 1E+06 0
0.89 0.69e-15 0.2e-15 1 1E+06 0
0.9 0.69e-15 0.2e-15 1 1E+06 0
