 time            time            v(net3)        
 4.00000000e-13  4.00000000e-13  5.03288056e-02 
 8.00000000e-13  8.00000000e-13  5.68283780e-02 
 1.60000000e-12  1.60000000e-12  6.80609313e-02 
 3.20000000e-12  3.20000000e-12  8.43145629e-02 
 6.40000000e-12  6.40000000e-12  1.01103352e-01 
 1.28000000e-11  1.28000000e-11  1.04788120e-01 
 2.56000000e-11  2.56000000e-11  4.92924016e-02 
 4.00000000e-11  4.00000000e-11  6.65174602e-03 
 4.25600000e-11  4.25600000e-11  4.32709922e-03 
 4.76800000e-11  4.76800000e-11  2.15182808e-03 
 5.79200000e-11  5.79200000e-11  6.38481160e-04 
 7.84000000e-11  7.84000000e-11 -2.89280720e-05 
 1.18400000e-10  1.18400000e-10  1.99746222e-05 
 1.58400000e-10  1.58400000e-10  1.71417738e-04 
 1.98400000e-10  1.98400000e-10  2.16300091e-04 
 2.38400000e-10  2.38400000e-10  2.18380294e-04 
 2.78400000e-10  2.78400000e-10  2.15444820e-04 
 3.18400000e-10  3.18400000e-10  2.14158724e-04 
 3.58400000e-10  3.58400000e-10  2.13820649e-04 
 3.98400000e-10  3.98400000e-10  2.13681544e-04 
 4.38400000e-10  4.38400000e-10  2.13544153e-04 
 4.78400000e-10  4.78400000e-10  2.13400992e-04 
 5.18400000e-10  5.18400000e-10  2.13264952e-04 
 5.58400000e-10  5.58400000e-10  2.13140568e-04 
 5.98400000e-10  5.98400000e-10  2.13027842e-04 
 6.38400000e-10  6.38400000e-10  2.12925915e-04 
 6.78400000e-10  6.78400000e-10  2.12834043e-04 
 7.18400000e-10  7.18400000e-10  2.12751638e-04 
 7.58400000e-10  7.58400000e-10  2.12678205e-04 
 7.98400000e-10  7.98400000e-10  2.12613312e-04 
 8.38400000e-10  8.38400000e-10  2.12556592e-04 
 8.78400000e-10  8.78400000e-10  2.12507740e-04 
 9.18400000e-10  9.18400000e-10  2.12466515e-04 
 9.58400000e-10  9.58400000e-10  2.12432738e-04 
 9.98400000e-10  9.98400000e-10  2.12406289e-04 
 1.03840000e-09  1.03840000e-09  2.12387105e-04 
 1.07840000e-09  1.07840000e-09  2.12375175e-04 
 1.11840000e-09  1.11840000e-09  2.12370541e-04 
 1.15840000e-09  1.15840000e-09  2.12373295e-04 
 1.19840000e-09  1.19840000e-09  2.12383577e-04 
 1.23840000e-09  1.23840000e-09  2.12401577e-04 
 1.27840000e-09  1.27840000e-09  2.12427533e-04 
 1.31840000e-09  1.31840000e-09  2.12461737e-04 
