VDD Cap Spikes Frequency Energy_Per_Spike
0.1 0.125e-15 1 5E+07 0
0.1 0.25e-15 1 5E+07 0
0.1 0.5e-15 1 5E+07 0
0.1 1e-15 1 5E+07 0
0.1 2e-15 1 5E+07 0
0.1 3e-15 1 5E+07 0
0.1 4e-15 1 5E+07 0
0.1 5e-15 1 5E+07 0
0.1 6e-15 1 5E+07 0
0.1 7e-15 1 5E+07 0
0.1 8e-15 1 5E+07 0
0.1 9e-15 1 5E+07 0
0.1 10e-15 1 5E+07 0
0.11 0.125e-15 1 5E+07 0
0.11 0.25e-15 1 5E+07 0
0.11 0.5e-15 1 5E+07 0
0.11 1e-15 1 5E+07 0
0.11 2e-15 1 5E+07 0
0.11 3e-15 1 5E+07 0
0.11 4e-15 1 5E+07 0
0.11 5e-15 1 5E+07 0
0.11 6e-15 1 5E+07 0
0.11 7e-15 1 5E+07 0
0.11 8e-15 1 5E+07 0
0.11 9e-15 1 5E+07 0
0.11 10e-15 1 5E+07 0
0.12 0.125e-15 1 5E+07 0
0.12 0.25e-15 1 5E+07 0
0.12 0.5e-15 1 5E+07 0
0.12 1e-15 1 5E+07 0
0.12 2e-15 1 5E+07 0
0.12 3e-15 1 5E+07 0
0.12 4e-15 1 5E+07 0
0.12 5e-15 1 5E+07 0
0.12 6e-15 1 5E+07 0
0.12 7e-15 1 5E+07 0
0.12 8e-15 1 5E+07 0
0.12 9e-15 1 5E+07 0
0.12 10e-15 1 5E+07 0
0.13 0.125e-15 13 6.5E+08 2.90092E-19
0.13 0.25e-15 10 5E+08 3.42949E-19
0.13 0.5e-15 7 3.5E+08 4.40851E-19
0.13 1e-15 5 2.5E+08 5.72199E-19
0.13 2e-15 3 1.5E+08 1.04848E-18
0.13 3e-15 3 1.5E+08 8.59176E-19
0.13 4e-15 2 1E+08 1.56478E-18
0.13 5e-15 2 1E+08 7.5345E-19
0.13 6e-15 2 1E+08 8.55999E-19
0.13 7e-15 2 1E+08 9.58082E-19
0.13 8e-15 2 1E+08 1.05981E-18
0.13 9e-15 2 1E+08 1.17178E-18
0.13 10e-15 2 1E+08 1.27565E-18
0.14 0.125e-15 15 7.5E+08 2.5264E-19
0.14 0.25e-15 12 6E+08 3.08003E-19
0.14 0.5e-15 9 4.5E+08 3.95614E-19
0.14 1e-15 6 3E+08 5.21941E-19
0.14 2e-15 4 2E+08 6.76413E-19
0.14 3e-15 3 1.5E+08 1.16551E-18
0.14 4e-15 3 1.5E+08 8.85265E-19
0.14 5e-15 2 1E+08 1.55147E-18
0.14 6e-15 2 1E+08 1.76387E-18
0.14 7e-15 2 1E+08 7.74265E-19
0.14 8e-15 2 1E+08 8.51182E-19
0.14 9e-15 2 1E+08 9.27811E-19
0.14 10e-15 2 1E+08 1.0042E-18
