VDD Cap Spikes Frequency Energy_Per_Spike
0.1 0.125e-15 1 5E+07 0
0.11 0.125e-15 1 5E+07 0
0.12 0.125e-15 1 5E+07 0
0.13 0.125e-15 13 6.5E+08 2.90092E-19
0.14 0.125e-15 15 7.5E+08 2.5264E-19
0.15 0.125e-15 17 8.5E+08 2.63482E-19
0.16 0.125e-15 19 9.5E+08 2.68481E-19
0.17 0.125e-15 21 1.05E+09 2.69241E-19
0.18 0.125e-15 22 1.1E+09 2.87715E-19
0.19 0.125e-15 22 1.1E+09 3.29088E-19
0.2 0.125e-15 23 1.15E+09 3.42862E-19
0.21 0.125e-15 23 1.15E+09 3.71837E-19
0.22 0.125e-15 24 1.2E+09 3.99693E-19
0.23 0.125e-15 24 1.2E+09 4.28799E-19
0.24 0.125e-15 26 1.3E+09 4.30574E-19
0.25 0.125e-15 27 1.35E+09 4.85601E-19
0.26 0.125e-15 28 1.4E+09 5.19141E-19
0.27 0.125e-15 28 1.4E+09 5.22809E-19
0.28 0.125e-15 29 1.45E+09 5.87079E-19
0.29 0.125e-15 29 1.45E+09 6.19255E-19
0.3 0.125e-15 30 1.5E+09 6.7031E-19
0.31 0.125e-15 32 1.6E+09 7.24679E-19
0.32 0.125e-15 34 1.7E+09 7.90132E-19
0.33 0.125e-15 38 1.9E+09 8.01898E-19
0.34 0.125e-15 39 1.95E+09 9.39196E-19
0.35 0.125e-15 43 2.15E+09 9.76434E-19
0.36 0.125e-15 44 2.2E+09 1.11879E-18
0.37 0.125e-15 49 2.45E+09 1.11091E-18
0.38 0.125e-15 52 2.6E+09 1.18054E-18
0.39 0.125e-15 57 2.85E+09 1.22583E-18
0.4 0.125e-15 55 2.75E+09 1.3655E-18
0.41 0.125e-15 48 2.4E+09 1.68169E-18
0.42 0.125e-15 47 2.35E+09 1.78474E-18
0.43 0.125e-15 38 1.9E+09 2.3539E-18
0.44 0.125e-15 56 2.8E+09 2.06155E-18
0.45 0.125e-15 57 2.85E+09 2.2862E-18
0.46 0.125e-15 50 2.5E+09 2.68587E-18
0.47 0.125e-15 55 2.75E+09 2.77081E-18
0.48 0.125e-15 55 2.75E+09 3.07306E-18
0.49 0.125e-15 50 2.5E+09 3.56337E-18
0.5 0.125e-15 57 2.85E+09 3.60046E-18
0.51 0.125e-15 52 2.6E+09 4.07731E-18
0.52 0.125e-15 53 2.65E+09 4.47081E-18
0.53 0.125e-15 57 2.85E+09 4.62474E-18
0.54 0.125e-15 54 2.7E+09 5.25529E-18
0.55 0.125e-15 58 2.9E+09 5.62926E-18
0.56 0.125e-15 56 2.8E+09 6.16963E-18
0.57 0.125e-15 58 2.9E+09 6.39162E-18
0.58 0.125e-15 55 2.75E+09 7.12344E-18
0.59 0.125e-15 57 2.85E+09 7.79226E-18
0.6 0.125e-15 60 3E+09 8.04864E-18
0.61 0.125e-15 61 3.05E+09 8.7791E-18
0.62 0.125e-15 59 2.95E+09 9.81998E-18
0.63 0.125e-15 56 2.8E+09 1.05633E-17
0.64 0.125e-15 52 2.6E+09 1.11088E-17
0.65 0.125e-15 32 1.6E+09 1.23716E-17
0.66 0.125e-15 33 1.65E+09 1.27064E-17
0.67 0.125e-15 23 1.15E+09 1.4396E-17
0.68 0.125e-15 19 9.5E+08 1.55712E-17
0.69 0.125e-15 14 7E+08 1.90571E-17
0.7 0.125e-15 12 6E+08 1.96066E-17
0.71 0.125e-15 18 9E+08 1.88114E-17
0.72 0.125e-15 14 7E+08 2.15764E-17
0.73 0.125e-15 17 8.5E+08 2.17008E-17
0.74 0.125e-15 16 8E+08 2.28208E-17
0.75 0.125e-15 18 9E+08 2.29169E-17
0.76 0.125e-15 9 4.5E+08 2.84239E-17
0.77 0.125e-15 9 4.5E+08 3.03725E-17
0.78 0.125e-15 9 4.5E+08 3.22246E-17
0.79 0.125e-15 6 3E+08 3.77906E-17
0.8 0.125e-15 9 4.5E+08 3.55969E-17
0.81 0.125e-15 6 3E+08 4.21193E-17
0.82 0.125e-15 3 1.5E+08 5.51925E-17
0.83 0.125e-15 2 1E+08 6.91413E-17
0.84 0.125e-15 1 5E+07 1.13476E-16
0.85 0.125e-15 2 1E+08 9.38968E-17
0.86 0.125e-15 1 5E+07 1.21756E-16
0.87 0.125e-15 1 5E+07 1.26024E-16
0.88 0.125e-15 1 5E+07 1.30349E-16
0.89 0.125e-15 2 1E+08 9.68454E-17
0.9 0.125e-15 1 5E+07 1.39214E-16
