 time            time            v(net3)        
 4.00000000e-13  4.00000000e-13  1.46746653e-02 
 8.00000000e-13  8.00000000e-13  1.75955223e-02 
 1.60000000e-12  1.60000000e-12  2.26314122e-02 
 3.20000000e-12  3.20000000e-12  2.98489926e-02 
 6.40000000e-12  6.40000000e-12  3.80489819e-02 
 1.28000000e-11  1.28000000e-11  4.62437479e-02 
 2.56000000e-11  2.56000000e-11  5.32752459e-02 
 4.00000000e-11  4.00000000e-11  5.58264719e-02 
 4.25600000e-11  4.25600000e-11  5.58346811e-02 
 4.76800000e-11  4.76800000e-11  5.59652548e-02 
 5.79200000e-11  5.79200000e-11  5.65357638e-02 
 7.84000000e-11  7.84000000e-11  5.80710313e-02 
 1.18400000e-10  1.18400000e-10  6.12457586e-02 
 1.58400000e-10  1.58400000e-10  6.44047003e-02 
 1.98400000e-10  1.98400000e-10  6.75419759e-02 
 2.38400000e-10  2.38400000e-10  7.06723996e-02 
 2.78400000e-10  2.78400000e-10  7.38002788e-02 
 3.18400000e-10  3.18400000e-10  7.69256826e-02 
 3.58400000e-10  3.58400000e-10  8.00481919e-02 
 3.98400000e-10  3.98400000e-10  8.31675040e-02 
 4.38400000e-10  4.38400000e-10  8.62833411e-02 
 4.78400000e-10  4.78400000e-10  8.93953798e-02 
 5.18400000e-10  5.18400000e-10  9.25032323e-02 
 5.58400000e-10  5.58400000e-10  9.56064410e-02 
 5.98400000e-10  5.98400000e-10  9.87044728e-02 
 6.38400000e-10  6.38400000e-10  1.01796711e-01 
 6.78400000e-10  6.78400000e-10  1.04882445e-01 
 7.18400000e-10  7.18400000e-10  1.07960862e-01 
 7.58400000e-10  7.58400000e-10  1.11031033e-01 
 7.98400000e-10  7.98400000e-10  1.14091897e-01 
 8.38400000e-10  8.38400000e-10  1.17142249e-01 
 8.78400000e-10  8.78400000e-10  1.20180716e-01 
 9.18400000e-10  9.18400000e-10  1.23205739e-01 
 9.58400000e-10  9.58400000e-10  1.26215541e-01 
 9.98400000e-10  9.98400000e-10  1.29208090e-01 
 1.03840000e-09  1.03840000e-09  1.32181060e-01 
 1.07840000e-09  1.07840000e-09  1.35131768e-01 
 1.11840000e-09  1.11840000e-09  1.38057102e-01 
 1.15840000e-09  1.15840000e-09  1.40953425e-01 
 1.19840000e-09  1.19840000e-09  1.43816489e-01 
 1.23840000e-09  1.23840000e-09  1.46641399e-01 
 1.27840000e-09  1.27840000e-09  1.49422863e-01 
 1.31840000e-09  1.31840000e-09  1.52156503e-01 
 1.35840000e-09  1.35840000e-09  1.54843919e-01 
 1.39840000e-09  1.39840000e-09  1.57511905e-01 
 1.43840000e-09  1.43840000e-09  1.60295178e-01 
 1.47840000e-09  1.47840000e-09  1.64026085e-01 
 1.51840000e-09  1.51840000e-09  2.43565044e-01 
 1.55840000e-09  1.55840000e-09  1.15151199e-01 
 1.59840000e-09  1.59840000e-09  7.01620079e-02 
 1.63840000e-09  1.63840000e-09  5.94122415e-02 
 1.67840000e-09  1.67840000e-09  5.73605079e-02 
 1.71840000e-09  1.71840000e-09  5.84601165e-02 
 1.75840000e-09  1.75840000e-09  6.09135709e-02 
 1.79840000e-09  1.79840000e-09  6.38415436e-02 
 1.83840000e-09  1.83840000e-09  6.69115974e-02 
 1.87840000e-09  1.87840000e-09  7.00218320e-02 
 1.91840000e-09  1.91840000e-09  7.31432483e-02 
 1.95840000e-09  1.95840000e-09  7.62667534e-02 
 1.99840000e-09  1.99840000e-09  7.93890380e-02 
 2.03840000e-09  2.03840000e-09  8.25087572e-02 
 2.07840000e-09  2.07840000e-09  8.56252592e-02 
 2.11840000e-09  2.11840000e-09  8.87381001e-02 
 2.15840000e-09  2.15840000e-09  9.18468628e-02 
 2.19840000e-09  2.19840000e-09  9.49510912e-02 
 2.23840000e-09  2.23840000e-09  9.80502643e-02 
 2.27840000e-09  2.27840000e-09  1.01143782e-01 
 2.31840000e-09  2.31840000e-09  1.04230955e-01 
 2.35840000e-09  2.35840000e-09  1.07310992e-01 
 2.39840000e-09  2.39840000e-09  1.10382988e-01 
 2.43840000e-09  2.43840000e-09  1.13445914e-01 
 2.47840000e-09  2.47840000e-09  1.16498596e-01 
 2.51840000e-09  2.51840000e-09  1.19539698e-01 
 2.55840000e-09  2.55840000e-09  1.22567703e-01 
 2.59840000e-09  2.59840000e-09  1.25580881e-01 
 2.63840000e-09  2.63840000e-09  1.28577259e-01 
 2.67840000e-09  2.67840000e-09  1.31554577e-01 
 2.71840000e-09  2.71840000e-09  1.34510233e-01 
 2.75840000e-09  2.75840000e-09  1.37441213e-01 
 2.79840000e-09  2.79840000e-09  1.40343998e-01 
 2.83840000e-09  2.83840000e-09  1.43214478e-01 
 2.87840000e-09  2.87840000e-09  1.46047887e-01 
 2.91840000e-09  2.91840000e-09  1.48838964e-01 
 2.95840000e-09  2.95840000e-09  1.51582915e-01 
 2.99840000e-09  2.99840000e-09  1.54279245e-01 
 3.03840000e-09  3.03840000e-09  1.56946177e-01 
 3.07840000e-09  3.07840000e-09  1.59680175e-01 
 3.11840000e-09  3.11840000e-09  1.63014421e-01 
 3.15840000e-09  3.15840000e-09  2.44033581e-01 
 3.19840000e-09  3.19840000e-09  1.14836046e-01 
 3.23840000e-09  3.23840000e-09  6.96100186e-02 
 3.27840000e-09  3.27840000e-09  5.87786373e-02 
 3.31840000e-09  3.31840000e-09  5.66979213e-02 
 3.35840000e-09  3.35840000e-09  5.77880335e-02 
 3.39840000e-09  3.39840000e-09  6.02388316e-02 
 3.43840000e-09  3.43840000e-09  6.31663088e-02 
 3.47840000e-09  3.47840000e-09  6.62365432e-02 
 3.51840000e-09  3.51840000e-09  6.93472075e-02 
 3.55840000e-09  3.55840000e-09  7.24691614e-02 
 3.59840000e-09  3.59840000e-09  7.55932633e-02 
 3.63840000e-09  3.63840000e-09  7.87161928e-02 
 3.67840000e-09  3.67840000e-09  8.18366090e-02 
 3.71840000e-09  3.71840000e-09  8.49538695e-02 
 3.75840000e-09  3.75840000e-09  8.80675421e-02 
 3.79840000e-09  3.79840000e-09  9.11772231e-02 
 3.83840000e-09  3.83840000e-09  9.42824712e-02 
 3.87840000e-09  3.87840000e-09  9.73827819e-02 
 3.91840000e-09  3.91840000e-09  1.00477574e-01 
 3.95840000e-09  3.95840000e-09  1.03566177e-01 
 3.99840000e-09  3.99840000e-09  1.06647824e-01 
 4.03840000e-09  4.03840000e-09  1.09721637e-01 
 4.07840000e-09  4.07840000e-09  1.12786612e-01 
 4.11840000e-09  4.11840000e-09  1.15841608e-01 
 4.15840000e-09  4.15840000e-09  1.18885328e-01 
 4.19840000e-09  4.19840000e-09  1.21916293e-01 
 4.23840000e-09  4.23840000e-09  1.24932825e-01 
 4.27840000e-09  4.27840000e-09  1.27933004e-01 
 4.31840000e-09  4.31840000e-09  1.30914637e-01 
 4.35840000e-09  4.35840000e-09  1.33875202e-01 
 4.39840000e-09  4.39840000e-09  1.36811778e-01 
 4.43840000e-09  4.43840000e-09  1.39720966e-01 
 4.47840000e-09  4.47840000e-09  1.42598789e-01 
 4.51840000e-09  4.51840000e-09  1.45440621e-01 
 4.55840000e-09  4.55840000e-09  1.48241271e-01 
 4.59840000e-09  4.59840000e-09  1.50995674e-01 
 4.63840000e-09  4.63840000e-09  1.53701768e-01 
 4.67840000e-09  4.67840000e-09  1.56371304e-01 
 4.71840000e-09  4.71840000e-09  1.59072976e-01 
 4.75840000e-09  4.75840000e-09  1.62156767e-01 
 4.79840000e-09  4.79840000e-09  2.44408766e-01 
