 time            time            v(net1)        
 4.00000000e-13  4.00000000e-13  1.83233800e-03 
 8.00000000e-13  8.00000000e-13  2.47279082e-03 
 1.60000000e-12  1.60000000e-12  3.64431114e-03 
 3.20000000e-12  3.20000000e-12  5.55658061e-03 
 6.40000000e-12  6.40000000e-12  8.16532250e-03 
 1.28000000e-11  1.28000000e-11  9.48218644e-03 
 2.56000000e-11  2.56000000e-11  5.34429899e-03 
 4.00000000e-11  4.00000000e-11  1.35127073e-03 
 4.25600000e-11  4.25600000e-11  9.10911409e-04 
 4.76800000e-11  4.76800000e-11  3.58513995e-04 
 5.79200000e-11  5.79200000e-11 -2.90296697e-05 
 7.84000000e-11  7.84000000e-11 -9.41424876e-05 
 1.18400000e-10  1.18400000e-10 -2.05986705e-05 
 1.58400000e-10  1.58400000e-10  6.95090311e-06 
 1.98400000e-10  1.98400000e-10  9.58266046e-06 
 2.38400000e-10  2.38400000e-10  8.74383596e-06 
 2.78400000e-10  2.78400000e-10  8.37502273e-06 
 3.18400000e-10  3.18400000e-10  8.30320680e-06 
 3.58400000e-10  3.58400000e-10  8.28332648e-06 
 3.98400000e-10  3.98400000e-10  8.26154011e-06 
 4.38400000e-10  4.38400000e-10  8.23530945e-06 
 4.78400000e-10  4.78400000e-10  8.20629288e-06 
 5.18400000e-10  5.18400000e-10  8.17495122e-06 
 5.58400000e-10  5.58400000e-10  8.14118576e-06 
 5.98400000e-10  5.98400000e-10  8.10474163e-06 
 6.38400000e-10  6.38400000e-10  8.06531370e-06 
 6.78400000e-10  6.78400000e-10  8.02256764e-06 
 7.18400000e-10  7.18400000e-10  7.97613924e-06 
 7.58400000e-10  7.58400000e-10  7.92562891e-06 
 7.98400000e-10  7.98400000e-10  7.87059603e-06 
 8.38400000e-10  8.38400000e-10  7.81055320e-06 
 8.78400000e-10  8.78400000e-10  7.74496013e-06 
 9.18400000e-10  9.18400000e-10  7.67321666e-06 
 9.58400000e-10  9.58400000e-10  7.59465474e-06 
 9.98400000e-10  9.98400000e-10  7.50852931e-06 
 1.03840000e-09  1.03840000e-09  7.41400763e-06 
 1.07840000e-09  1.07840000e-09  7.31015700e-06 
 1.11840000e-09  1.11840000e-09  7.19593049e-06 
 1.15840000e-09  1.15840000e-09  7.07015011e-06 
 1.19840000e-09  1.19840000e-09  6.93148712e-06 
 1.23840000e-09  1.23840000e-09  6.77843868e-06 
 1.27840000e-09  1.27840000e-09  6.60930007e-06 
 1.31840000e-09  1.31840000e-09  6.42213139e-06 
 1.35840000e-09  1.35840000e-09  6.21471746e-06 
 1.39840000e-09  1.39840000e-09  5.98451913e-06 
 1.43840000e-09  1.43840000e-09  5.72861376e-06 
 1.47840000e-09  1.47840000e-09  5.44362200e-06 
 1.51840000e-09  1.51840000e-09  5.12561677e-06 
 1.55840000e-09  1.55840000e-09  4.77000946e-06 
 1.59840000e-09  1.59840000e-09  4.37140608e-06 
 1.63840000e-09  1.63840000e-09  3.92342406e-06 
 1.67840000e-09  1.67840000e-09  3.41845630e-06 
 1.71840000e-09  1.71840000e-09  2.84736446e-06 
 1.75840000e-09  1.75840000e-09  2.19907588e-06 
 1.79840000e-09  1.79840000e-09  1.46004804e-06 
 1.83840000e-09  1.83840000e-09  6.13548999e-07 
 1.87840000e-09  1.87840000e-09 -3.61320567e-07 
 1.91840000e-09  1.91840000e-09 -1.49097193e-06 
 1.95840000e-09  1.95840000e-09 -2.80919747e-06 
 1.99840000e-09  1.99840000e-09 -4.35979626e-06 
 2.03840000e-09  2.03840000e-09 -6.20029474e-06 
 2.07840000e-09  2.07840000e-09 -9.27385971e-06 
 2.11840000e-09  2.11840000e-09 -1.17960294e-05 
 2.15840000e-09  2.15840000e-09 -1.48548129e-05 
