VDD Cap1 Cap2 Spikes Frequency Energy_Per_Spike
0.1 0.4e-15 0.1e-15 1 1E+06 0
0.11 0.4e-15 0.1e-15 1 1E+06 0
0.12 0.4e-15 0.1e-15 1 1E+06 0
0.13 0.4e-15 0.1e-15 1 1E+06 0
0.14 0.4e-15 0.1e-15 639 6.39E+08 3.85351E-19
0.15 0.4e-15 0.1e-15 722 7.22E+08 3.9446E-19
0.16 0.4e-15 0.1e-15 793 7.93E+08 4.2211E-19
0.17 0.4e-15 0.1e-15 847 8.47E+08 4.60885E-19
0.18 0.4e-15 0.1e-15 884 8.84E+08 5.09027E-19
0.19 0.4e-15 0.1e-15 903 9.03E+08 5.59618E-19
0.2 0.4e-15 0.1e-15 904 9.04E+08 6.3215E-19
0.21 0.4e-15 0.1e-15 893 8.93E+08 6.77415E-19
0.22 0.4e-15 0.1e-15 863 8.63E+08 7.72594E-19
0.23 0.4e-15 0.1e-15 881 8.81E+08 8.27567E-19
0.24 0.4e-15 0.1e-15 891 8.91E+08 9.18711E-19
0.25 0.4e-15 0.1e-15 954 9.54E+08 1.01291E-18
0.26 0.4e-15 0.1e-15 526 5.26E+08 2.11361E-18
0.27 0.4e-15 0.1e-15 620 6.2E+08 1.93147E-18
0.28 0.4e-15 0.1e-15 565 5.65E+08 2.28209E-18
0.29 0.4e-15 0.1e-15 1 1E+06 0
0.3 0.4e-15 0.1e-15 1 1E+06 0
0.31 0.4e-15 0.1e-15 2 2E+06 8.45534E-16
0.32 0.4e-15 0.1e-15 5 5E+06 3.85745E-16
0.33 0.4e-15 0.1e-15 18 1.8E+07 1.63275E-16
0.34 0.4e-15 0.1e-15 30 3E+07 1.16679E-16
0.35 0.4e-15 0.1e-15 41 4.1E+07 1.06483E-16
0.36 0.4e-15 0.1e-15 2 2E+06 2.48895E-15
0.37 0.4e-15 0.1e-15 1 1E+06 0
0.38 0.4e-15 0.1e-15 1 1E+06 0
0.39 0.4e-15 0.1e-15 1 1E+06 0
0.4 0.4e-15 0.1e-15 1 1E+06 0
0.41 0.4e-15 0.1e-15 1 1E+06 0
0.42 0.4e-15 0.1e-15 1 1E+06 0
0.43 0.4e-15 0.1e-15 1 1E+06 0
0.44 0.4e-15 0.1e-15 1 1E+06 0
0.45 0.4e-15 0.1e-15 1 1E+06 0
0.46 0.4e-15 0.1e-15 1 1E+06 0
0.47 0.4e-15 0.1e-15 1 1E+06 0
0.48 0.4e-15 0.1e-15 1 1E+06 0
0.49 0.4e-15 0.1e-15 1 1E+06 0
0.5 0.4e-15 0.1e-15 1 1E+06 0
0.51 0.4e-15 0.1e-15 1 1E+06 0
0.52 0.4e-15 0.1e-15 1 1E+06 0
0.53 0.4e-15 0.1e-15 1 1E+06 0
0.54 0.4e-15 0.1e-15 1 1E+06 0
0.55 0.4e-15 0.1e-15 1 1E+06 0
0.56 0.4e-15 0.1e-15 1 1E+06 0
0.57 0.4e-15 0.1e-15 1 1E+06 0
0.58 0.4e-15 0.1e-15 1 1E+06 0
0.59 0.4e-15 0.1e-15 1 1E+06 0
0.6 0.4e-15 0.1e-15 1 1E+06 0
0.61 0.4e-15 0.1e-15 1 1E+06 0
0.62 0.4e-15 0.1e-15 1 1E+06 0
0.63 0.4e-15 0.1e-15 1 1E+06 0
0.64 0.4e-15 0.1e-15 1 1E+06 0
0.65 0.4e-15 0.1e-15 1 1E+06 0
0.66 0.4e-15 0.1e-15 1 1E+06 0
0.67 0.4e-15 0.1e-15 1 1E+06 0
0.68 0.4e-15 0.1e-15 1 1E+06 0
0.69 0.4e-15 0.1e-15 1 1E+06 0
0.7 0.4e-15 0.1e-15 1 1E+06 0
0.71 0.4e-15 0.1e-15 1 1E+06 0
0.72 0.4e-15 0.1e-15 1 1E+06 0
0.73 0.4e-15 0.1e-15 1 1E+06 0
0.74 0.4e-15 0.1e-15 1 1E+06 0
0.75 0.4e-15 0.1e-15 1 1E+06 0
0.76 0.4e-15 0.1e-15 1 1E+06 0
0.77 0.4e-15 0.1e-15 1 1E+06 0
0.78 0.4e-15 0.1e-15 1 1E+06 0
0.79 0.4e-15 0.1e-15 1 1E+06 0
0.8 0.4e-15 0.1e-15 1 1E+06 0
0.81 0.4e-15 0.1e-15 1 1E+06 0
0.82 0.4e-15 0.1e-15 1 1E+06 0
0.83 0.4e-15 0.1e-15 1 1E+06 0
0.84 0.4e-15 0.1e-15 1 1E+06 0
0.85 0.4e-15 0.1e-15 3 3E+06 9.32043E-17
0.86 0.4e-15 0.1e-15 1 1E+06 0
0.87 0.4e-15 0.1e-15 1 1E+06 0
0.88 0.4e-15 0.1e-15 1 1E+06 0
0.89 0.4e-15 0.1e-15 1 1E+06 0
0.9 0.4e-15 0.1e-15 1 1E+06 0
