VDD Static_Power
0.1 1.15291E-09
0.11 1.23233E-09
0.12 1.33785E-09
0.13 1.45884E-09
0.14 1.5916E-09
0.15 1.73476E-09
0.16 1.88786E-09
0.17 2.05104E-09
0.18 2.225E-09
0.19 2.41094E-09
0.2 2.61021E-09
0.21 2.82431E-09
0.22 3.05453E-09
0.23 3.3022E-09
0.24 3.56878E-09
0.25 3.85615E-09
0.26 4.16657E-09
0.27 4.50266E-09
0.28 4.86738E-09
0.29 5.26448E-09
0.3 5.69716E-09
0.31 6.17002E-09
0.32 6.68789E-09
0.33 7.25653E-09
0.34 7.88237E-09
0.35 8.57255E-09
0.36 9.33559E-09
0.37 1.01845E-08
0.38 1.11251E-08
0.39 1.21722E-08
0.4 1.33407E-08
0.41 1.46474E-08
0.42 1.61122E-08
0.43 1.7758E-08
0.44 1.96117E-08
0.45 2.17042E-08
0.46 2.40829E-08
0.47 2.6772E-08
0.48 2.98295E-08
0.49 3.33143E-08
0.5 3.72957E-08
0.51 4.18285E-08
0.52 4.70591E-08
0.53 5.30793E-08
0.54 6.00232E-08
0.55 6.80532E-08
0.56 7.73635E-08
0.57 8.81832E-08
0.58 1.00792E-07
0.59 1.15526E-07
0.6 1.32795E-07
0.61 1.53097E-07
0.62 1.77072E-07
0.63 2.05434E-07
0.64 2.39153E-07
0.65 2.7943E-07
0.66 3.27797E-07
0.67 3.86241E-07
0.68 4.5739E-07
0.69 5.44794E-07
0.7 6.53386E-07
0.71 7.90403E-07
0.72 9.6641E-07
0.73 1.1988E-06
0.74 1.5186E-06
0.75 1.98887E-06
0.76 2.77575E-06
0.77 4.77059E-06
0.78 5.41701E-05
0.79 5.68242E-05
0.8 5.95466E-05
0.81 6.23318E-05
0.82 6.51788E-05
0.83 6.80862E-05
0.84 7.10529E-05
0.85 7.40775E-05
0.86 7.71587E-05
0.87 8.02951E-05
0.88 8.3485E-05
0.89 8.67271E-05
0.9 9.00196E-05
