VDD Static_Power
0.1 5.08595E-10
0.11 5.66066E-10
0.12 6.24445E-10
0.13 6.83803E-10
0.14 7.4417E-10
0.15 8.05558E-10
0.16 8.67971E-10
0.17 9.31411E-10
0.18 9.9588E-10
0.19 1.06138E-09
0.2 1.12793E-09
0.21 1.19555E-09
0.22 1.26427E-09
0.23 1.33412E-09
0.24 1.40515E-09
0.25 1.47739E-09
0.26 1.55082E-09
0.27 1.6254E-09
0.28 1.7012E-09
0.29 1.77825E-09
0.3 1.85653E-09
0.31 1.93611E-09
0.32 2.01709E-09
0.33 2.09963E-09
0.34 2.18376E-09
0.35 2.26945E-09
0.36 2.35662E-09
0.37 2.44533E-09
0.38 2.53568E-09
0.39 2.62801E-09
0.4 2.72248E-09
0.41 2.81927E-09
0.42 2.91842E-09
0.43 3.01994E-09
0.44 3.12374E-09
0.45 3.22976E-09
0.46 3.33805E-09
0.47 3.44877E-09
0.48 3.5622E-09
0.49 3.67858E-09
0.5 3.79874E-09
0.51 3.9226E-09
0.52 4.05078E-09
0.53 4.18366E-09
0.54 4.32162E-09
0.55 4.46499E-09
0.56 4.61408E-09
0.57 4.76913E-09
0.58 4.93034E-09
0.59 5.09519E-09
0.6 5.26824E-09
0.61 5.44791E-09
0.62 5.63409E-09
0.63 5.82723E-09
0.64 6.02742E-09
0.65 6.23517E-09
0.66 6.45106E-09
0.67 6.6755E-09
0.68 6.9091E-09
0.69 7.1525E-09
0.7 7.40639E-09
0.71 7.67149E-09
0.72 7.94857E-09
0.73 8.2384E-09
0.74 8.54356E-09
0.75 8.86122E-09
0.76 9.19419E-09
0.77 9.54336E-09
0.78 9.90969E-09
0.79 1.0294E-08
0.8 1.06973E-08
0.81 1.11206E-08
0.82 1.15648E-08
0.83 1.20311E-08
0.84 1.25204E-08
0.85 1.30338E-08
0.86 1.35725E-08
0.87 1.41354E-08
0.88 1.47277E-08
0.89 1.53489E-08
0.9 1.60002E-08
