VDD Static_Power
0.1 7.99596E-10
0.11 8.73021E-10
0.12 9.5428E-10
0.13 1.04167E-09
0.14 1.13433E-09
0.15 1.2319E-09
0.16 1.33423E-09
0.17 1.4414E-09
0.18 1.55369E-09
0.19 1.67161E-09
0.2 1.79567E-09
0.21 1.92643E-09
0.22 2.06437E-09
0.23 2.20963E-09
0.24 2.36295E-09
0.25 2.52483E-09
0.26 2.69603E-09
0.27 2.87745E-09
0.28 3.07005E-09
0.29 3.2751E-09
0.3 3.49355E-09
0.31 3.7269E-09
0.32 3.97676E-09
0.33 4.24494E-09
0.34 4.53348E-09
0.35 4.84469E-09
0.36 5.18118E-09
0.37 5.54754E-09
0.38 5.94484E-09
0.39 6.37794E-09
0.4 6.85138E-09
0.41 7.37034E-09
0.42 7.94075E-09
0.43 8.5694E-09
0.44 9.26414E-09
0.45 1.00373E-08
0.46 1.08938E-08
0.47 1.18479E-08
0.48 1.29137E-08
0.49 1.41072E-08
0.5 1.54473E-08
0.51 1.69556E-08
0.52 1.86472E-08
0.53 2.05723E-08
0.54 2.27562E-08
0.55 2.52401E-08
0.56 2.80723E-08
0.57 3.131E-08
0.58 3.50208E-08
0.59 3.92848E-08
0.6 4.41966E-08
0.61 4.98717E-08
0.62 5.64455E-08
0.63 6.40818E-08
0.64 7.29784E-08
0.65 8.33754E-08
0.66 9.55659E-08
0.67 1.0991E-07
0.68 1.26854E-07
0.69 1.46953E-07
0.7 1.70912E-07
0.71 1.99626E-07
0.72 2.34256E-07
0.73 2.76331E-07
0.74 3.27901E-07
0.75 3.91759E-07
0.76 4.71963E-07
0.77 5.74389E-07
0.78 7.0811E-07
0.79 8.88336E-07
0.8 1.14242E-06
0.81 1.52744E-06
0.82 2.21255E-06
0.83 3.88934E-06
0.84 7.10516E-05
0.85 7.40762E-05
0.86 7.71574E-05
0.87 8.02937E-05
0.88 8.34836E-05
0.89 8.67256E-05
0.9 9.00182E-05
